What is the free float for Activity C? | 4 days
Your manager has asked you to include the Human Resource Management Plan and the Schedule Management Plan in your Project Management Plan. Is this the appropriate place for these items? | Yes, include them in the Project Management Plan.
In a project that was yet to begin, many of the project team members were known in advance. This is called: | Pre-assignment
You are managing a project to design microprocessor control systems. The design work was estimated to complete in 3.5 months, with seven milestones. The sixth milestone is the prototype to be handed over to manufacturing. All milestones before prototyping have been completed ahead of schedule with 6th one being delayed for 4 months as the prototype has been sent back several times, due to conflicts between departments. You are now planning to hold a meeting to review the design specifications, and handle conflicts between design and manufacturing. Who is at fault? | The project manager.
You are a PMP reviewing project files to help you write a lessons learned document on a software project you are finishing. Which of the following is not a part of a project file? | Project deliverables
Vendor selection and management and documentation of lessons learned are tasks that fall under this process area: | Conduct Procurements
Which process group corresponds to the “act” component of the plan-do-check-act cycle? | Monitoring and Controlling
Which of the following is not a valid instance of Risk Transference? | Use of a Cost Reimbursable contract
You have overheard two functional managers arguing about the impacts that your project will have on their departments. What is your best response? | Analyze and report to each manager the impact your project will have on their departments in terms of time and resources required, and the relative enterprise priority of your project.
What is the shortest time possible to complete this project? (critical path)  | 18 days
Bill is the project manager of a software project that is originally estimated to complete in 12 months. 2 months into the project, it is discovered that the original estimating assumptions were fundamentally flawed. The Estimate at Completion (EAC) in such a project will be: | EAC = AC + Bottom-up ETC
Due to a tight project schedule, a project manager did not document lessons learned all through the project. However, at the end of the project, he finally documented the lessons learned. Your comment on this would be: | This is ok. At a minimum, lessons learned should be documented at the end of the project.
You are managing a highly complex drug manufacturing project and your sponsor is highly motivated and influential. You are optimistic about the outcome of the project, however, you are not sure about the project approval requirements that measure the success of the project. So, you would like to document the name of the person who signs off on the project, and the criteria that constitutes the success of the project. Which of the following documents should you use first to incorporate project approval requirements? | The project charter
While reviewing project procurement and accounting records for your project, you discover that there is a pattern of unauthorized expenses by a specific resource. These expenses are not within the scope of the project, and have been somewhat camouflaged within a number of large and complicated expense reports. What do you do? | Notify the appropriate management immediately.
Which of the following is NOT a valid statement regarding the critical path method? | The resulting late start and finish dates will be the project schedule baseline.
Which of the following is not an example of a work performance report? | Project charter
Your project team works in two different buildings across the city. The team has been struggling to perform effectively and has a difficult time resolving problems. What would be the BEST team development technique to resolve this issue? | Co-location
You have been asked by your project manager to help them create a chart that illustrates the project resources that will be working on each work package. What would be the best type of chart to use? | RACI chart
A project manager is trying to plan for a contingency reserve as part of the cost estimates for the project. Which of these would be an incorrect way to plan for contingency reserves? | Start the project with a zero value for contingency reserve.
The most detailed level of the WBS is called the ____________. | Work package
You are managing an oil drilling project. With oil at $120 per barrel this could be a very lucrative project. However, there is a chance that the price of oil will drop below $80 per barrel, thus eliminating the profit in the project. This is an example of: | Risk
During a weekly status meeting a team member suggests adding a component to the project. As the project manager, you indicate that all focus should be put on the current scope and don’t worry about any enhancements. Focusing on the current scope is an example of? | Scope management
Several of your resources report to another manager. You need them to participate in a series of project meetings over the next two weeks. How should you handle this? | Request in advance resource participation from the other manager and the resources and communicate information about the timing and duration of the project meetings.
A manager asked to see a list of milestones in the project. This would be available as an output from the: | Define Activities phase
Your project is nearing completion, but a previously unidentified risk has been discovered and it could significantly affect one of the project deliverables. What do you do? | Notify the project stakeholders immediately.
A seller organization was executing work for a project under a contract. During the course of the project, a number of disputes arose over the scope and quality of work. Which of the following is the preferred method of resolving these claims? | Negotiation
Which of the following is NOT considered a method in the Manage Communications process? | Change control systems
As an external vendor, you are managing a complex software project that has been contracted on Time & Material (T&M). One of your team-members reports a break-through in automating some of the testing activities. This will potentially result in cost savings to the project as well as the project getting completed ahead of schedule by a month. Which of the following actions would you take? | Communicate the current status to the customer and indicate the potential changes to cost and schedule.
Acceptance is a strategy adopted because it is not possible to eliminate all risks from a project. This strategy indicates that the project management team has decided not to change the project management plan to deal with a risk. What action does passive acceptance require? | Passive acceptance requires no action except to document the strategy, leaving the project team to deal with the risks as they occur.
